"qId","Job","Edu_essential","Edu_optional","AgeMin","AgeMax","City","Competence_essential0","Competence_essential1","Competence_essential2","Competence_essential3","Competence_optional0","Competence_optional1","Competence_optional2","Knowledge_essential0","Knowledge_essential1","Knowledge_essential2","Knowledge_essential3","Knowledge_optional0","Knowledge_optional1","Knowledge_optional2","Language_essential0","Language_essential1","Language_optional0","Language_level0","Language_level1","Language_level2","Experience_essential","Experience_optional"
"105","warehouse manager","Master-D.","-","24","38","Milano","ensure efficient utilisation of warehouse space","manage third-party logistics providers","monitor security procedures in warehouse operations","exert a goal-oriented leadership role towards colleagues","-","-","-","warehousing regulations","safety regulations for warehouses","-","-","-","-","-","Italian","German","-","C2","A1","-","2","True"
"106","drapery and carpet cleaner","Degree","-","20","27","Saronno","eliminate stains","guarantee customer satisfaction","-","-","-","-","-","cleaning techniques","types of staining","types of brushes","-","-","-","-","Italian","-","French","C2","-","C1","-","False"
"107","broadcast news editor","Master-D.","-","27","40","Adrano","meet deadlines","work closely with news teams","develop professional network","follow the news","use presentation software","check correctness of information","-","grammar","multimedia systems","-","-","media and information literacy ","file-based workflow","-","Spanish","-","French","B1","-","A2","2","False"
"108","bridge inspector","Master-D.","PhD","27","45","Bova Marina","identify external risks to bridge integrity","use safety equipment in construction","follow health and safety procedures in construction","inspect supplied concrete","-","-","-","construction product regulation","mechanics","-","-","types of wood","wood cuts","-","French","Italian","-","B1","C2","-","-","True"
"109","restaurant manager","Degree","-","21","40","Bologna","ensure maintenance of kitchen equipment","arrange special events","manage staff","maximise sales revenues","-","-","-","quality assurance methodologies","waste management","hazard analysis and critical control points","-","-","-","-","Italian","-","-","B2","-","-","2","True"
"110","stage manager","Degree","Bachelor-D.","23","36","Tromello","prevent fire in a performance environment","follow safety procedures when working at heights","adapt artistic plan to location","use personal protection equipment","follow time cues","-","-","-","-","-","-","-","-","-","English","-","French","A2","-","B1","1","False"
"111","substation engineer","Master-D.","PhD","26","43","Pignola","ensure compliance with environmental legislation","inspect facility sites","-","-","-","-","-","engineering processes","electrical discharge","-","-","-","-","-","Italian","Spanish","-","C2","B1","-","1","False"
"112","procurement category specialist","PhD","-","30","39","Turate","adapt to changing situations","manage contracts","perform procurement market analysis","draft procurement technical specifications","-","-","-","category specific expertise","supplier management","-","-","teamwork principles","-","-","Albanian","-","Italian","A1","-","C2","1","False"
"113","textile, leather and footwear researcher","Master-D.","-","26","33","Pistoia","seek innovation in current practices","measure yarn count","-","-","manufacture nonwoven staple products","-","-","health and safety in the textile industry","physics","research and development in textiles","textile materials","-","-","-","Italian","-","-","C2","-","-","1","True"
"114","social counsellor","Less-than-degree","Degree","20","30","Guidonia Montecelio","manage stress in organisation","apply socially just working principles","perform therapy sessions","-","develop patient treatment strategies","empower individuals, families and groups","address gender-related issues in family planning counselling","social sciences","reflexion","counselling methods","-","dependency on drugs","-","-","Italian","Spanish","-","C1","B1","-","3","True"
"115","belt builder","Less-than-degree","Degree","21","40","Brescia","follow standards for machinery safety","inspect quality of products","-","-","operate calender machine","fasten rubber goods","read standard blueprints","-","-","-","-","mechanics","-","-","Italian","-","-","C2","-","-","1","False"
"116","metal rolling mill operator","Degree","Bachelor-D.","19","30","Rio Marina","remove inadequate workpieces","supply machine","-","-","operate lifting equipment","program a CNC controller","-","types of metal","quality standards","-","-","-","-","-","English","-","-","A1","-","-","4","False"
"117","capsule filling machine operator","Less-than-degree","Degree","17","25","Paceco","control minor maintenance","assemble machines","make time-critical decisions","-","wear protective equipment against industrial noise","provide information","-","quality assurance methodologies","health and safety regulations","-","-","-","-","-","Italian","-","-","C1","-","-","2","False"
"118","autonomous driving specialist","Master-D.","-","28","39","Sciacca","perform scientific research","report the results of treatment","use technical drawing software","-","-","-","-","vehicle-to-everything technologies","principles of artificial intelligence","-","-","-","-","-","Spanish","-","-","B1","-","-","1","True"
"119","beauty vocational teacher","Bachelor-D.","Master-D.","22","36","Milano","observe student's progress","prepare lesson content","monitor developments in field of expertise","-","decide on make-up process","provide non-surgical treatment in cosmetic procedures","-","cosmetics","assessment processes","cosmetics industry","-","-","-","-","Chinese","Italian","-","A1","C2","-","2","False"
