qId,Job,metadata,Edu_essential,Edu_optional,AgeMin,AgeMax,City,Competence_essential0,Competence_essential1,Competence_essential2,Competence_essential3,Competence_optional0,Competence_optional1,Competence_optional2,Knowledge_essential0,Knowledge_essential1,Knowledge_essential2,Knowledge_essential3,Knowledge_optional0,Knowledge_optional1,Knowledge_optional2,Language_essential0,Language_essential1,Language_optional0,Language_level0,Language_level1,Language_level2,Experience_essential,Experience_optional
94,"import export manager in computers, computer peripheral equipment and software",{'group': '1324'},Degree,Bachelor-D.,19,37,Gassino Torinese,manage processes,provide customs compliance,conduct performance measurement,comprehend  business finance terminology,-,-,-,international commercial transactions legislation,computer machines,-,-,-,-,-,Albanian,-,French,B1,-,Any,2,False
95,footwear CAD patternmaker,{'group': '7536'},Degree,-,21,33,Sacile,work in textile manufacturing teams,use IT tools,operate 2D CAD for footwear,create patterns for footwear,reduce environmental impact of footwear manufacturing,develop footwear collection,create technical sketches for footwear,last types,footwear quality,footwear materials,footwear manufacturing technology,-,-,-,Italian,Albanian,German,Any,Any,Any,2,False
96,mine mechanical engineer,{'group': '2144'},Master-D.,PhD,26,31,Padova,supervise staff,manage emergency procedures,maintain mine machinery,advise on mine equipment,monitor mine costs,address problems critically,-,mine safety legislation,impact of geological factors on mining operations,geology,electricity,mining engineering,health and safety hazards underground,-,French,Bengali,-,C1,B2,-,1,False
97,hand brick moulder,{'group': '7314'},Less-than-degree,-,20,27,Santa Maria a Monte,fill moulds,clean moulds,-,-,inspect quality of products,handle different pottery materials,form moulding mixture,types of pottery material,quality standards,-,-,various types of sand,sanding techniques,-,French,English,-,Any,C1,-,1,True
98,microsystem engineer,{'group': '2152'},Master-D.,PhD,25,32,Farigliano,think abstractly,synthesise information,develop microelectromechanical system test procedures,-,use CAM software,publish academic research,manage intellectual property rights,engineering principles,electrical engineering,-,-,-,-,-,Italian,French,Albanian,Any,C2,Any,-,False
99,quality engineer,{'group': '2149'},PhD,-,29,42,Sassari,record test data,define quality standards,evaluate test data,-,perform pre-assembly quality checks,-,-,test procedures,quality standards,quality assurance procedures,-,non-destructive testing,manufacturing processes,lean manufacturing,Italian,-,Spanish,B1,-,Any,-,False
100,technical sales representative in agricultural machinery and equipment,{'group': '2433'},Bachelor-D.,-,25,33,Verona,supervise sales activities,produce sales reports,-,-,-,-,-,product comprehension,characteristics of services,-,-,-,-,-,Spanish,-,-,B1,-,-,1,False
101,shunter,{'group': '8312'},Degree,-,22,41,Incisa Scapaccino,oversee operational safety on trains,operate railway communication systems,control train movement,-,load animals for transportation,keep written records of cargo,ensure train stability after loading,train operating procedures,principles of mechanical engineering,mechanics of trains,dangers of marshalling activity,electrical wiring plans,electrical engineering,-,Spanish,French,Italian,A1,B2,Any,2,False
102,bereavement counsellor,{'group': '2635'},Degree,Bachelor-D.,21,32,Santa Caterina Villarmosa,take part in continuous professional development in social work,report on social development,provide social counselling,encourage counselled clients to examine themselves,aid children who have experienced trauma,-,-,supervision of persons,legal requirements in the social sector,behavioural therapy,-,-,-,-,Italian,-,-,Any,-,-,1,True
103,move manager,{'group': '1324'},Master-D.,PhD,26,33,Bolgare,manage inventory,liaise with transportation services,-,-,prepare shipments in time,prepare resources for loading activities,make time-critical decisions,project management,cost management,-,-,leasing process,-,-,Spanish,Italian,-,C1,A1,-,3,True
104,music teacher,{'group': '2354'},Degree,Bachelor-D.,23,43,Mazzarino,play musical instruments,maintain safe working conditions in performing arts,bring out performers’ artistic potential,adapt teaching to student's capabilities,perform classroom management,-,-,musical theory,musical notation,musical instruments,-,music literature,-,-,Italian,-,-,C1,-,-,1,True
105,bathroom fitter,{'group': '7126'},Less-than-degree,-,20,26,Torino,utilise measurement instruments,fill up cargo vehicle,assessment of compatibility of materials,attach PEX pipe,-,-,-,types of toilets,types of showers,copper pipes,plumbing tools,vehicle load capacity,-,-,Spanish,Arabic,-,C2,B1,-,1,True
106,social entrepreneur,{'group': '1120'},Degree,-,19,39,Terracina,perform business analysis,monitor social impact,deliver a sales pitch,-,manage staff,-,-,social innovation,social entrepreneurship,social alliances,impact investing,-,-,-,Spanish,Italian,-,Any,Any,-,3,False
107,biochemistry technician,{'group': '3141'},Master-D.,-,24,35,San Vito sullo Ionio,write technical reports,perform scientific research,maintain laboratory equipment,calibrate laboratory equipment,analyse blood samples,-,-,scientific research methodology,biology,-,-,-,-,-,Italian,French,Chinese,Any,A1,Any,3,False
108,railway electronic technician,{'group': '7421'},Degree,Bachelor-D.,22,31,Padova,test electronic units,read railway circuit plans,detect malfunctions in train control systems,-,have computer literacy,-,-,electronics principles,electrical wiring plans,electrical systems used in transportation,circuit diagrams,-,-,-,German,English,French,Any,A2,Any,-,False
109,education inspector,{'group': '2351'},Degree,-,18,23,Francavilla Marittima,inspect education institutions,identify undetected organisational needs,-,-,promote social awareness,implement strategic planning,-,pedagogy,curriculum standards,-,-,learning technologies,-,-,Italian,-,-,B1,-,-,3,True
110,paper engineer,{'group': '2145'},Bachelor-D.,Master-D.,23,37,L'Aquila,test paper production samples,plan engineering activities,monitor pulp quality,-,-,-,-,types of pulp,types of paper,paper production processes,engineering processes,types of wood,business management principles,-,Italian,English,-,Any,B2,-,-,False
111,insurance claims manager,{'group': '1346'},Bachelor-D.,Master-D.,22,32,Morozzo,manage claims process,manage claim files,conduct financial audits,-,initiate claim file,handle customer complaints,estimate damage,types of insurance,fraud detection,-,-,insurance market,-,-,French,Arabic,-,C2,B1,-,1,True
112,installation engineer,{'group': '2149'},Master-D.,PhD,25,44,Venezia,work in a construction team,perform risk analysis,perform project management,follow health and safety procedures in construction,use safety equipment in construction,react to events in time-critical environments,design process,project management principles,engineering processes,construction industry,-,technical drawings,communication,-,Italian,-,French,Any,-,Any,2,False
113,nanoengineer,{'group': '2149'},Master-D.,-,26,34,Brindisi,perform chemical experiments,assess environmental impact,apply health and safety standards,adjust engineering designs,use CAD software,-,-,nanotechnology,engineering principles,-,-,pharmaceutical drug development,-,-,Russian,Italian,-,B2,B2,-,1,False
114,animation layout artist,{'group': '2166'},Degree,Bachelor-D.,19,26,Sassari,set up animation elements,operate 3D computer graphics software,finish project within budget,analyse a script,provide multimedia content,operate a camera,design graphics,multimedia systems,3D lighting,-,-,motion capture,augmented reality,Microsoft Visio,Italian,-,-,Any,-,-,2,True
115,textile chemical quality technician,{'group': '3119'},Master-D.,-,26,39,San Giorgio delle Pertiche,assess yarn fineness,evaluate textile characteristics,examine quality of products of textile production line,-,test physical properties of textiles,-,-,textile material production technologies,properties of fabrics,-,-,textile finishing technology,technology of dyeing,challenging issues in the textile industry,Spanish,Italian,English,B1,C2,Any,1,True
116,hardware and paint shop manager,{'group': '1420'},Degree,Bachelor-D.,22,29,Arese,monitor customer services,maintain relationship with customers,ensure compliance with purchasing and contracting regulations,-,sell hardware,-,-,sales activity,hardware industry,employment legislation,-,-,-,-,Russian,-,-,Any,-,-,1,False
117,freight transport dispatcher,{'group': '4323'},Degree,-,18,34,Forli,prepare transportation routes,manage fleet capacity,conduct analysis of ship data,communicate verbal instructions,have computer literacy,-,-,road transport legislation,geographic areas,freight transport methods,-,warehouse operations,statistics,intermodalism,English,-,-,C1,-,-,4,False
118,secretary of state,{'group': '1111'},Master-D.,-,28,35,Piano di Sorrento,implement strategic management,conduct financial audits,-,-,perform project management,manage administrative systems,ensure cross-department cooperation,legislation procedure,budgetary principles,audit techniques,-,public finance,project management principles,government policy implementation,Italian,-,English,B1,-,Any,2,False
119,lithographer,{'group': '7321'},Degree,Bachelor-D.,21,40,Afragola,scale copies,arrange printing form,prepare films for printing plates,ink printing plate,apply opaque,-,-,printing materials,photoengraving,-,-,proofing method,printed goods processes,maintenance of printing machines,French,-,English,Any,-,Any,2,True
120,mechanical engineering drafter,{'group': '3118'},Master-D.,-,24,44,Pomarico,use manual draughting techniques,apply CAD software,create technical plans,conceive  solutions to problems,read standard blueprints,give client recommendations on technical possibilities,adjust construction designs,design mechanisms,mathematics,manual draughting techniques,-,material mechanics,-,-,English,-,Italian,Any,-,Any,4,False
121,derrickhand,{'group': '8113'},Degree,-,22,38,Sacile,monitor drilling fluid,mechanical equipment repairing,-,-,train employees,inspect pipelines,putting chemicals into drilling fluid,rigging terminology,mechanics,-,-,principles of chemistry,-,-,French,English,Arabic,B1,C1,Any,1,False
122,crosscut saw operator,{'group': '8172'},Bachelor-D.,Master-D.,22,27,Pozzuoli,sharpening edged tools,operate crosscut saw,keep sawing equipment in good condition,classify hazards in the workplace,-,-,-,varieties of wood,quality standards,logging,-,-,-,-,Spanish,-,English,A1,-,Any,1,True
123,sustainability manager,{'group': '1213'},Degree,Bachelor-D.,23,42,Padova,manage recycling program budget,manage environmental management system,conduct qualitative research,-,design indicators for food waste reduction,assess supplier risks,advise on public relations,waste management,environmental policy,energy efficiency,-,-,-,-,Italian,French,-,Any,A2,-,-,False
124,energy assessor,{'group': '3112'},PhD,-,28,36,Prato,prepare energy performance contracts,conduct energy audit,carry out energy management of facilities,-,provide information,perform a feasibility study on electric heating,identify energy needs,electricity market,electricity consumption,domestic heating systems,-,solar energy,-,-,Italian,-,-,C1,-,-,3,True
125,army major,{'group': '0110'},Degree,Bachelor-D.,20,35,Castello di Godego,monitor military equipment use,give battle commands,advise superiors on military operations,-,write situation reports,manage administrative systems,ensure equipment availability,military combat techniques,military code,-,-,surveillance methods,geographic information systems,-,Albanian,-,Italian,C1,-,Any,2,False
126,glass artist,{'group': '2651'},Degree,Bachelor-D.,19,35,Corigliano Calabro,define artistic approach,add colour,-,-,plan art educational activities,assess conservation needs,-,labour legislation,intellectual property law,art history,-,-,-,-,Italian,-,-,B1,-,-,1,True
127,hawker,{'group': '9520'},Less-than-degree,Degree,20,30,Taranto,use different communication channels,unload supplies,adapt to different weather conditions,-,utilise cross-selling,speak dialect,-,sales argumentation,product comprehension,consumer protection,-,types of watches,meat and meat products,electronic communication,Italian,-,-,B1,-,-,3,False
128,dredging supervisor,{'group': '3123'},Master-D.,-,26,43,Fucecchio,supervise staff,operate GPS systems,liaise with managers,-,recruit employees,-,-,soil mechanics,dredging consoles,-,-,construction product regulation,-,-,French,-,-,B2,-,-,-,False
129,child care coordinator,{'group': '1341'},Master-D.,-,25,41,Verona,coordinate educational programmes,assist children in developing personal skills,-,-,-,-,-,children's physical development,child protection,-,-,teamwork principles,recreation activities,outdoor activities,Italian,-,-,B1,-,-,-,False
130,clothing finisher,{'group': '9321'},Less-than-degree,-,20,30,Valdagno,execute warehousing operations,pack goods,decorate textile articles,-,embroider fabrics,distinguish accessories,carry out work-related measurements,clothing sizes,clothing trader,-,-,apparel manufacturing technology,-,-,Spanish,-,-,Any,-,-,2,True
131,metallurgical technician,{'group': '3117'},Master-D.,PhD,27,35,Padova,record test data,perform sample testing,conduct field work,analyse experimental laboratory data,new mining methods implementation,conduct of analysis of metallurgical structure,-,production of steel,precious metal alloys,-,-,metal and metal ore products,digging methods,chemical procedures used in metal manufacture,Spanish,English,-,C2,B2,-,1,False
132,police detective,{'group': '3355'},Degree,Bachelor-D.,18,25,Colognola ai Colli,lead police investigations,exploit evidence,-,-,-,-,-,legislation enforcement,investigation research methods,-,-,legal probing,-,-,English,-,-,A2,-,-,2,False
133,hand packer,{'group': '9321'},Less-than-degree,Degree,16,24,Verona,secure goods ,follow written instructions,-,-,weight shipments of freight,merchandise weighing,timber product wrapping,types of packaging materials,packaging design,-,-,-,-,-,French,-,-,Any,-,-,1,False
134,corrosion technician,{'group': '3112'},Master-D.,-,29,45,Fiesole,repair pipelines,create solutions to problems,engage with servicing operatives,-,perform laboratory tests,-,-,quality assurance methodologies,engineering processes,corrosion conditions,field of chemicals,types of metal,laboratory techniques,characteristics of inorganic chemistry,Spanish,Italian,-,Any,C2,-,1,True
135,hydraulic forging press worker,{'group': '7221'},Less-than-degree,-,21,29,Caluso,set up the controller of a machine,monitor automated machines,-,-,supply machine with appropriate tools,apply preliminary treatment to workpieces,-,quality standards,hydraulic press parts,-,-,non-ferrous metal processing,metal forming technologies,manufacturing of metal structures,Spanish,French,English,B2,C1,Any,2,False
136,airport planning engineer,{'group': '2142'},Master-D.,-,29,39,Brindisi,comply with legal regulations,compile airport certification manuals,-,-,conduct airport environmental studies,-,-,land use for airport planning,geological factors in airport construction,-,-,airport environmental regulations,-,-,Italian,-,-,Any,-,-,2,True
137,education studies lecturer,{'group': '2310'},Master-D.,-,26,42,Marino,write work-related reports,think abstractly,prepare lesson content,compile course material,assist students in their learning,-,-,pedagogy,education law,-,-,-,-,-,German,-,French,C1,-,Any,1,True
138,earth science lecturer,{'group': '2310'},Master-D.,PhD,28,45,Cornedo Vicentino,implement classroom management,demonstrate when teaching,apply blended learning,-,provides lesson materials,integrate gender dimension in research,conduct scholarly research,meteorology,curriculum objectives,Earth science,-,funding methods,-,-,Italian,-,-,B2,-,-,2,False
139,contract manager,{'group': '2619'},Master-D.,PhD,26,34,Todi,negotiate supplier arrangements,negotiate buying conditions,manage contract disputes,keep up-to-date with regulations,-,-,-,project management principles,procurement lifecycle,communication principles,-,e-procurement,-,-,French,-,-,C2,-,-,-,False
140, food service worker,{'group': '5246'},Master-D.,PhD,27,40,Vaiano,use different communication channels,comply with food safety and hygiene,-,-,-,-,-,food legislation,food allergies,-,-,-,-,-,Italian,French,-,B2,Any,-,-,False
141,cultural facilities manager,{'group': '1431'},Degree,Bachelor-D.,21,30,Vernate,organise cultural festivals,follow company standards,evaluate needs of cultural venue visitors,evaluate cultural venue programmes,-,-,-,fundraising for culture,collective civil responsibility,-,-,budgetary principles,-,-,French,Chinese,-,B2,A2,-,-,False
142,textile machine operator,{'group': '8152'},Degree,Bachelor-D.,19,39,Nettuno,tend textile printing machines,manufacture man-made fibres,-,-,-,-,-,textile technologies,textile techniques,-,-,-,-,-,Spanish,French,Italian,Any,C1,Any,2,True
143,automotive test driver,{'group': '7543'},Degree,-,20,39,Vico del Gargano,work ergonomically,handle vehicles,-,-,drive at high velocity,conduct performance test,undertake  conversion testing,types of vehicles,mechanics of motor vehicles,-,-,-,-,-,Spanish,-,Italian,Any,-,Any,5,False
144,production designer,{'group': '2654'},Degree,Bachelor-D.,19,34,Venezia,use CAD software,supervise costume workers,create production schedules,-,-,-,-,film production process,CAD software,-,-,photography,lighting techniques,-,Italian,English,-,Any,A1,-,2,False
145,distillery miller,{'group': '8160'},Less-than-degree,-,17,36,Bordighera,sterilise fermentation tanks,monitor milled food products,monitor machine operations,keep task records,liaise with managers,liaise with colleagues,adapt efficient food processing practices,milling machines,mill operations,mashing process,lautering process,processes of foods and beverages manufacturing,appropriate raw materials for specific spirits,-,French,Chinese,-,B1,Any,-,1,False
146,crosscut saw operator,{'group': '8172'},Degree,-,20,39,Ripa Teatina,sharpen edged tools,operate crosscut saw,identify hazards in the workplace,handle saw securely,select tree felling methods,fell trees,-,wood cuts,sawing techniques,quality standards,-,woodworking tools,types of crosscut saws,distinguish types of saws,Spanish,French,Italian,Any,A1,Any,-,False
147,laundry and dry cleaning manager,{'group': '1439'},Degree,-,21,26,Trapani,supervise the management of an establishment,manage work,manage health and safety standards,evaluate employees,train employees,oversee quality control,manage payroll reports,quality standards,customer service,corporate social responsibility,communication principles,organisational policies,cleaning industry health and safety measures,-,Spanish,-,-,C1,-,-,2,False
148,"wholesale merchant in agricultural raw materials, seeds and animal feeds",{'group': '3324'},Master-D.,-,28,46,Camaiore,comprehend financial business terminology,assess supplier risks,-,-,-,-,-,sales strategies,"agricultural raw materials, seeds and animal feed products",-,-,-,-,-,Spanish,English,French,Any,B2,Any,-,False
149,spot welder,{'group': '7212'},Less-than-degree,Degree,20,33,Valle Mosso,wear appropriate protective gear,set up the controller of a machine,ensure correct metal temperature,apply spot welding techniques,perform product testing,-,-,types of metal,quality standards,electric current,-,types of metal manufacturing processes,manufacturing of cutlery,-,Italian,French,-,A1,Any,-,4,False
150,pipeline pump operator,{'group': '8113'},Less-than-degree,Degree,20,25,Pozzuoli,pump products,monitor storage vessels used to transport goods via pipeline,monitor gauge,maintain tanks,handle chemicals,-,-,mechanics,mechanical engineering,-,-,technical drawings,rigging terminology,-,Spanish,English,-,Any,C2,-,-,False
151,ICT information and knowledge manager,{'group': '1330'},Degree,-,22,35,Fontanile,deliver visual presentation of data,create data models,assess informational needs,analyse the context of an organisation,ensure information privacy,-,-,information architecture,data mining,business intelligence,-,information confidentiality,data quality assessment,data protection,Italian,English,Spanish,A2,A1,Any,-,False
152,actuarial assistant,{'group': '3314'},Bachelor-D.,-,21,27,Schio,compile statistical data for insurance purposes,carry out statistical forecasts,-,-,produce statistical financial records,analyse insurance risk,advise on insurance policies,statistics,statistical analysis system software,-,-,principles of insurance,insurance market,insurance law,German,-,Italian,A1,-,Any,1,False
153,driving instructor,{'group': '5165'},Less-than-degree,-,18,27,Mantova,teach driving practices,perform defensive driving,monitor developments in field of expertise,guarantee students' safety,-,-,-,road traffic laws,mechanical components of vehicles,health and safety measures in transportation,curriculum objectives,vessel electrical system,physical parts of the vessel,customer service,Spanish,-,-,Any,-,-,2,False
154,material testing technician,{'group': '3111'},Master-D.,-,28,34,Venezia,use testing equipment,report a test finding,record test data,scientific measuring equipment operating,work together with engineers,develop substance testing procedures,analyze stress resistance of materials,quality standards,"health, safety and hygiene legislations",-,-,physics,materials science,chemistry,Spanish,-,French,C1,-,Any,2,False
155,purchaser,{'group': '3323'},Bachelor-D.,Master-D.,23,41,Partinico,identify suppliers,ensure compliance with purchasing and contracting regulations,-,-,-,-,-,supply chain management,international import export regulations,embargo regulations,-,procurement lifecycle,category specific expertise,-,Italian,-,Spanish,Any,-,Any,1,True
156,clinical psychologist,{'group': '2634'},Degree,Bachelor-D.,20,30,Cologno Monzese,manage healthcare users' data,assess healthcare users' risk for harm,-,-,work with healthcare users' social network,-,-,neurology,expert services in clinical psychology,-,-,psychosomatics,-,-,Italian,Chinese,-,Any,Any,-,1,True
157,data centre operator,{'group': '3511'},Degree,Bachelor-D.,21,33,Ventimiglia di Sicilia,maintain ICT server,keep up with the latest information systems solutions,administer ICT system,-,use databases,integrate system components,-,resource description framework query language,query languages,database management systems,-,-,-,-,Italian,English,-,Any,C1,-,-,False
158,sound editor,{'group': '3521'},Master-D.,PhD,24,40,Rignano Garganico,finish project within budget,consult with production director,attend music recording sessions,-,-,-,-,personal directing styles,musical theory,musical genres,audio editing software,-,-,-,Italian,Arabic,-,Any,Any,-,-,False
159,toys and games shop manager,{'group': '1420'},Degree,-,22,30,Salerno,obtain relevant licenses,measure customer feedback,manage theft prevention,manage budgets,-,-,-,toys and games industry,employment law,-,-,-,-,-,Spanish,Italian,-,Any,A2,-,1,False
160,wood treater,{'group': '7521'},Degree,-,23,43,Verona,work safely with chemicals,stack timber,mix chemicals,clean wood surface,identify hazards in the workplace,-,-,woodworking processes,wood moisture content,types of wood,-,timber products,chemical processes,-,Russian,-,-,Any,-,-,-,False
161,chief ICT security officer,{'group': '2529'},Degree,-,18,29,Piossasco,implement corporate governance,ensure cooperation cross-department,ensure adherence to organisational ICT standards,-,train employees,optimise choice of ICT solution,manage keys for data protection,decision-making tools,cyber security,information security threats,-,Internet of Things,-,-,Italian,English,-,B1,B1,-,-,False
162,department store manager,{'group': '1420'},Degree,-,18,29,Rovato,train employees,provide customer follow-up services,plan marketing campaigns,implement marketing strategies,supervise brand management,set up pricing strategies,recruit employees,product comprehension,company policies,-,-,"health, safety and hygiene legislation",employment law,characteristics of services,Albanian,-,German,Any,-,Any,5,True
163,"import export manager in coffee, tea, cocoa and spices",{'group': '1324'},Degree,-,18,25,Padova,apply import export strategies,produce sales reports,-,-,-,-,-,protective measures against the introduction of organisms,general principles of food law,embargo rules,"coffee, tea, cocoa and spice product",-,-,-,English,-,-,C2,-,-,2,True
164,ship planner,{'group': '4323'},Degree,-,23,43,Cologno Monzese,supervise loading of cargo,plan transport operations,operate radio equipment,develop shipping itineraries,negotiate logistics services,-,-,principles of cargo stowage,match vessels to shipping routes,maritime transportation technology,cargo industry,electronic communication,continuous improvement philosophies,-,Spanish,Italian,French,C2,C1,Any,3,True
165,ecologist,{'group': '2133'},Master-D.,-,25,40,Venezia,manage habitats,identify plants characteristics,-,-,ensure compliance with environmental legislation,develop strategy to solve problems,conserve natural resources,organism taxonomy,environmental legislation,ecology,-,fish biology,fish anatomy,botany,French,-,Spanish,B2,-,Any,1,True
166,civil engineering technician,{'group': '3112'},Bachelor-D.,-,24,39,Padova,retain records of work progress,inspect construction supplies,ensure compliance with safety laws,-,develop buildings,gather technical requirements,control of expenses,a technical drawing,building information modelling,-,-,traffic engineering,project management,industrial design,Spanish,-,Chinese,Any,-,Any,1,True
167,coagulation operator,{'group': '8141'},Less-than-degree,Degree,17,29,San Martino Buon Albergo,optimize  production processes parameters,check valves,measure materials,-,prepare rubber materials,use hydraulic pumping systems,maintain equipment,pneumatics,personal protective equipment,-,-,mechanics,-,-,Italian,-,Bengali,B1,-,Any,-,False
168,modern languages lecturer,{'group': '2310'},Master-D.,-,27,47,Rosignano Marittimo,teach in academic or vocational contexts,promote the participation of citizens in scientific and research activities,perform classroom management,-,promote open innovation in research,monitor educational developments,keep records of attendance,language teaching methods,curriculum objectives,-,-,university procedures,linguistics,funding methods,Italian,-,-,C2,-,-,3,False
169,leather goods quality manager,{'group': '1321'},Degree,-,20,37,Mazzarrone,plan supply chain logistics for footwear and leather goods,innovate in footwear and leather goods industry,-,-,perform laboratory tests on footwear or leather goods,determine lather goods warehouse layout,-,health and safety in the workplace,footwear finishing techniques,-,-,-,-,-,French,English,-,A2,A2,-,1,True
170,crowd controller,{'group': '5419'},Less-than-degree,-,18,27,Brindisi,perform security checks,liaise with security authorities,-,-,monitor amusement park safety,handle cash flow,ensure safe spectator movement,surveillance methods,security threats,fire safety regulations,-,criminal law,-,-,Italian,-,-,B2,-,-,-,False
171,pharmacy lecturer,{'group': '2310'},Master-D.,PhD,25,42,Venezia,synthesise information,demonstrate when teaching,-,-,manage intellectual property rights,assist students in their learning,-,pharmacy law,pharmacology,-,-,assessment processes,-,-,Spanish,-,-,Any,-,-,1,True
172,economic policy officer,{'group': '2631'},Less-than-degree,Degree,16,23,Pagliara,forecast economic trends,analyse economic trends,advise legislators,-,establish collaborative relations,carry out strategic research,-,government policy implementation,economics,-,-,-,-,-,Spanish,English,-,A1,Any,-,2,False
173,ICT system architect,{'group': '2511'},Degree,-,21,26,Venezia,manage database,design enterprise architecture,assess ICT knowledge,-,use object-oriented programming,design cloud architecture,-,web programming,systems development life-cycle,-,-,Oracle WebLogic,-,-,English,-,Albanian,Any,-,Any,1,True
174,drug and alcohol addiction counsellor,{'group': '2635'},Less-than-degree,-,18,37,Rosignano Marittimo,prepare youths for adulthood,manage stress in organisation,maintain records of work with service users,build helping relationship with social service users,inform on the risks of substance and alcohol abuse,-,-,psychological theories,legal requirements in the social sector,behavioural therapy,-,-,-,-,English,-,Chinese,B2,-,Any,2,True
175,process engineer,{'group': '2141'},Master-D.,-,26,34,Padova,perform scientific research,manage engineering project,interpret technical requirements,-,record test data,read engineering drawings,manage budgets,manufacturing processes,engineering processes,engineering principles,-,environmental engineering,circular economy,-,Italian,French,English,C1,C2,Any,-,False
176,vehicle rental agent,{'group': '5249'},Degree,-,19,37,Taranto,perform multiple tasks at the same time,conduct customer identification,complete transaction procedures for returned vehicles,-,utilise cross-selling,upsell products,tolerate stress,contract law,car controls,-,-,leasing characteristics,credit card payments,carsharing,Spanish,-,Italian,C2,-,Any,3,True
177,corrosion technician,{'group': '3112'},Master-D.,-,28,44,Brindisi,repair pipelines,recognise signs of corrosion,ensure compliance with environmental legislation,-,-,-,-,types of pipelines,physics,engineering processes,chemistry,mechanics,analytical chemistry,-,Italian,English,Russian,Any,B1,Any,1,False
178,chemical metallurgist,{'group': '2146'},Master-D.,PhD,24,37,Taranto,prepare scientific reports,manipulate metal,apply health and safety standards,-,-,-,-,non-ferrous metal processing,metal forming technologies,ferrous metal processing,-,physics,-,-,Spanish,Chinese,-,B1,Any,-,5,False
179,colonel,{'group': '0110'},Degree,Bachelor-D.,21,38,Prato,use geographic information systems,ensure compliance with policies,design military tactics,-,-,-,-,military weaponry,military code,GIS,-,military drill,investigation research methods,camouflage,Italian,German,-,C1,A2,-,-,False
180,international student exchange coordinator,{'group': '3343'},Master-D.,-,24,33,Salerno,oversee all travel arrangements,coordinate educational institution's administration,guide international students,-,-,-,-,travel bookings processes,education administration,-,-,electronic communication,customer satisfaction,-,Spanish,-,Italian,A1,-,Any,1,False
181,marine engineering technician,{'group': '3115'},Master-D.,-,26,37,Pozzuoli,execute analytical mathematical calculations,adjust engineering designs,-,-,-,-,-,mechanics,engineering principles,CAE software,-,unstructured data,synthetic natural environment,product data management,Italian,Chinese,-,B1,C1,-,1,True
182,refuse collector,{'group': '9611'},Degree,-,19,26,Pavia,manage waste,maintain waste collection records,collect industrial waste,assess waste type,-,-,-,waste management,waste and scrap products,-,-,waste transport legislation,pollution prevention,hazardous waste storage,Italian,French,-,Any,Any,-,-,False
183,plastic furniture machine operator,{'group': '8142'},Degree,Bachelor-D.,18,25,Pavia di Udine,operate a plastic machine,maintain plastic machinery,assemble plastic parts,-,chronicle production data for quality control,perform product testing,utilise paint sprayer,types of plastic,injection moulding machine components,-,-,technical drawings,-,-,Spanish,Italian,French,C1,A1,Any,-,False
184,deburring machine operator,{'group': '8122'},Less-than-degree,-,16,29,Conegliano,supply machine with appropriate tools,remove inadequate workpieces,monitor moving workpiece in a machine,-,record production data for quality control,keep records of work progress,-,quality and cycle time optimisation,deburring processes,deburring machine parts,-,manufacturing of light metal packaging,-,-,French,-,-,C2,-,-,-,False
185,health and safety engineer,{'group': '2149'},Master-D.,PhD,26,31,Venezia,perform scientific research,draw up risk assessment,adjust engineering designs,-,write inspection reports,instruct employees on radiation protection,evaluate industrial hygiene,technical drawings,safety engineering,engineering processes,-,fire prevention procedures,-,-,Italian,French,Spanish,Any,B1,Any,4,False
186,machine operator supervisor,{'group': '3122'},Master-D.,-,29,42,Pagani,oversee production requirements,evaluate employees work,-,-,-,-,-,quality standards,production processes,functionalities of machinery,-,-,-,-,Italian,Chinese,French,B1,C1,Any,1,True
187,business analyst,{'group': '2421'},Master-D.,PhD,27,32,Trinitapoli,perform business analysis,analyse internal factors of companies,analyse business plans,align efforts towards business development,propose ICT solutions to business problems,keep updated on the political landscape,advise on personnel management,scientific research methodology,risk management,market research,business analysis,market entry strategies,financial statements,business law,Bengali,-,French,Any,-,Any,1,False
188,malt kiln operator,{'group': '8160'},Less-than-degree,Degree,20,38,Conversano,operate a heat treatment process,maintain industrial ovens,apply GMP,-,be reliable,-,-,types of barley,types of fire,-,-,food dehydration processes,colour changes of roasting,-,French,-,-,Any,-,-,5,True
189,translator,{'group': '2643'},Master-D.,PhD,26,39,Latina,speak different languages,master language rules,comprehend the material to be translated,-,translate spoken language,-,-,spelling,office software,grammar,-,-,-,-,Italian,English,-,B1,A1,-,6,True
190,member of parliament,{'group': '1111'},Bachelor-D.,-,22,42,Macerata Feltria,manage government policy implementation,make legislative decisions,-,-,promote political campaign,perform public relations,perform government ceremonies,rhetoric,legislation procedure,government policy implementation,constitutional law,government representation,-,-,Italian,-,-,C2,-,-,-,False
191,animal handler,{'group': '5164'},Degree,Bachelor-D.,20,39,Portogruaro,provide an enriching environment for animals,apply safe work practices in a veterinary setting,-,-,assess animal's condition,-,-,environmental enrichment for animals,animal welfare legislation,-,-,animal production science,-,-,Arabic,-,-,A2,-,-,2,True
192,online community manager,{'group': '2432'},Degree,Bachelor-D.,19,37,Dozza,provide written content,plan marketing campaigns,manage content development projects,analyse customer service surveys,-,-,-,market research,keywords in digital content,corporate social responsibility,-,-,-,-,Italian,-,-,C2,-,-,3,True
