qId,Job,metadata,Edu_essential,Edu_optional,AgeMin,AgeMax,City,Competence_essential,Competence_optional,Knowledge_essential,Knowledge_optional,Language_essential,Language_optional,Experience_essential,Experience_optional
29,wood sander,"{'group': '7523', 'uri_comp_ess': ['6122d586-5978-431f-8e7a-96e61fc1f3fc', '4c1ff5b1-fec0-4e07-a313-ec3df804a687'], 'uri_comp_opt': ['576b305e-8c25-4546-8a69-87f975783114'], 'uri_know_ess': ['0f9098d1-9bcd-453c-a9ec-e8b635705976', '09637f9c-ad8c-42ff-94d8-6a5a81d1dfd1', '95097774-1a0e-4501-a3d9-b0f31973e02d', 'a8c6f7bd-0fd5-40c8-9097-ff003b44a554'], 'uri_know_opt': ['2336b108-a59b-4ff0-84c4-d838b4d297bd']}",Degree,-,22,41,Cogliate,"['wear appropriate protective gear', 'inspect wood materials']",['meet contract specifications'],"['woodworking processes', 'types of sanders', 'sanding techniques', 'sanding grits']",['timber products'],"[('Arabic', 'C2')]","[('Italian', 'Null')]",3,False
30,sergeant,"{'group': '0210', 'uri_comp_ess': ['1143e53e-2933-472d-8161-f26d6936c927', '6b2bc23e-67e1-4587-9dfb-a09af24aeafa'], 'uri_comp_opt': ['e95dc989-ae49-49c6-bfc4-9aef35e92f35', '0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe', 'e0417d6c-b6ec-4730-a406-2018c3bee038'], 'uri_know_ess': ['d220e067-ed2b-4ad0-94b9-7b27cb4aed22', 'e4a32aa6-6042-4073-b46b-38362522198b', '3a6b6485-8775-44b9-aba8-0ae06a53ce2f'], 'uri_know_opt': ['ff8bd17c-77e9-4d4e-929a-a0cf86f3ed34', '72c7f1a4-b283-45d0-b36f-754f0a9445d9']}",Degree,Bachelor-D.,19,28,Vinci,"['lead military troops', 'defend human rights']","['patrol areas', 'operate radio equipment', 'coordinate rescue missions']","['military weaponry', 'military drill', 'military code']","['surveillance methods', 'camouflage']","[('Spanish', 'C1')]",[],3,True
31,thanatology researcher,"{'group': '2632', 'uri_comp_ess': ['08b04e53-ed25-41a2-9f90-0b9cd939ba3d', '810134a4-3c40-4140-b8ca-6d6e8d0dc0f1', '7a34b3d9-bd3b-4f4e-a0f6-f97439901cb7'], 'uri_comp_opt': [], 'uri_know_ess': ['8881a9c2-bd07-4954-bf27-c1f8acca9af0', 'ed3f3dba-3a35-4ed5-b113-67f4d10ef4c8', 'bfe4f330-d595-48c7-ab3c-f309471d6953', 'c2aacac0-5a16-4493-b769-e7c052916d39'], 'uri_know_opt': ['cef5c0f8-1e40-4c09-b6a7-aa7811849e5d', '9433da85-70fa-4a25-8f96-71fa59dd1989']}",Less-than-degree,-,18,31,Sant'Antimo,"['manage research data', 'develop scientific theories', 'utilise scientific methods']",[],"['sociology', 'scientific research methodology', 'study of human behaviour and performance', 'anthropology']","['ethics', 'biology']","[('French', 'B1')]","[('Italian', 'Null')]",4,True
32,textile quality inspector,"{'group': '7543', 'uri_comp_ess': ['50ab7296-bc34-4cb1-9fdb-7cf7b6f80f9c', '09853c3b-6784-456f-abe9-c9f44bf872bc', 'eb13f8c5-8300-4422-a51f-475a7edb09ef', 'fe309116-eea5-4b23-8748-316c927af6e2'], 'uri_comp_opt': ['a7876190-30fc-4eba-a462-018e5f95196d', '62879c0f-03aa-478b-ba35-c0180f86b083'], 'uri_know_ess': ['13d1b916-0ee9-4ee1-b762-56a9feade16c', 'b5c7e0dc-dda3-4790-a7d1-d6d8023b3089', 'fdfb348c-6aaf-4815-8f50-2f665287c422'], 'uri_know_opt': ['6860efa0-dcf4-441f-94c0-73826fa95d33', '059d0c45-3ad3-440e-a20d-63ecbece9336']}",Bachelor-D.,Master-D.,23,29,San Mauro Pascoli,"['maintain work standards', 'distinguish accessories', 'conduct tests on textile', 'check quality of products in textile production line']","['use warp knitting machinery', 'employ textile finishing machines']","['health and safety in textile manufacture', 'quality standards for databases', 'challenging issues of textile manufacturing']","['research and development in textiles', 'knitted fabric machinery technology']","[('Italian', 'A1')]","[('French', 'Null')]",1,True
33,broadcasting programme director,"{'group': '3435', 'uri_comp_ess': ['4a112f96-72c1-47f3-aa61-4b34ea415701', '21c5790c-0930-4d74-b3b0-84caf5af12ea'], 'uri_comp_opt': ['857fefe9-c8f9-45d9-bf3b-923d46e15e64', 'ac469a4f-77dd-4bd6-b3f5-ffcd2ef7dca2', '66cf649e-fd1d-4840-8250-ebd546a12239'], 'uri_know_ess': ['e2103a1d-4a84-47a9-b4f7-774787573449', '9242ad54-dc3d-41b3-9cfe-142fa8582511'], 'uri_know_opt': ['38509fa4-7c06-4a4b-9622-f521f03c37b8', 'e6262391-ffda-4b8e-9f5c-89cf1a0e7384']}",Degree,-,23,35,Curtatone,"['obtain relevant licenses', 'manage budgets']","['screen television series pilots', 'create production schedules', 'assess production needs to plan a production schedule']","['copyright legislation', 'brand marketing techniques']","['photography', 'audiovisual equipment']","[('Spanish', 'Null')]",[],1,False
34,business service manager,"{'group': '1219', 'uri_comp_ess': ['918f5211-b99f-4b29-9a34-6e475583ef55', '8ebb2c0a-0baa-43bf-95cf-094047c57427', 'a703b581-ad64-4791-8bb3-624aea569fa5'], 'uri_comp_opt': ['77505a2a-b6a7-4571-9509-b45448167c0e'], 'uri_know_ess': ['949ced5f-7536-4614-ac60-563ffc91a2f2', '6a609f8f-1451-4102-ad2d-62c5270e1237'], 'uri_know_opt': ['3a5231a0-8c30-48ee-b671-08e2debd4441', '50f5e41d-7ce3-481b-aed7-ee9484545bc4']}",Degree,-,18,26,Montefiascone,"['write work-related reports', 'maintain professional administration', 'maintain contract administration']",['negotiate service with providers'],"['strategic planning', 'office administration']","['organisational policies', 'facilities management in the organisation']","[('Spanish', 'C2'), ('English', 'Null')]",[],3,True
35,bleacher operator,"{'group': '8171', 'uri_comp_ess': ['334e3e49-fb02-4051-809a-f06adfdc1c40', '27fea4a5-b07e-4fd0-a46a-45cd45e154fe', 'd9818afc-1dec-4944-8c9c-e3ae8fad176d'], 'uri_comp_opt': ['edd5d32c-1188-4cb3-aa54-ebb9640147dd', '9f34107c-8db0-4b00-84d8-3f64e400c80c', '910becaf-d07b-455a-a363-0bf9430afb51'], 'uri_know_ess': ['dc2a04ca-61b6-4e37-a8b1-ff9f6f208c49', '51f3b50a-3b51-4259-98e7-c17f527ad494', '8d4271ca-c9fd-40b3-875f-15f78332a49e'], 'uri_know_opt': []}",Degree,Bachelor-D.,22,28,Sant'Antimo,"['solve problems', 'operate bleacher', 'install the controller of a machine']","['tend agitation machine', 'consult technical resources', 'clean equipment']","['sorts of pulp', 'kinds of bleach', 'quality standards']",[],"[('Spanish', 'A2'), ('English', 'Null')]","[('German', 'Null')]",3,False
36,mine safety officer,"{'group': '3117', 'uri_comp_ess': ['334e3e49-fb02-4051-809a-f06adfdc1c40', 'b9f16465-56a9-426b-a047-0f9f1f95ec92'], 'uri_comp_opt': [], 'uri_know_ess': ['4064716d-6714-48ea-95a0-ef81c2b31672', '35bca3d6-c1ae-48ff-9ae3-a11cea578c2c'], 'uri_know_opt': ['efa141df-f382-418f-9121-bd88fd735669', 'a3d2c72d-1029-47fb-9d0d-4c4a57a044d9', 'c8ac1986-38fa-43b2-89dc-50a4beeb420e']}",Master-D.,-,25,39,Marigliano,"['problem solve', 'think critically about problems']",[],"['mine safety legislation', 'impacts of geological factors on mining operations']","['production mechanics', 'health and safety hazards underground', 'principles of electricity']","[('Italian', 'B2')]",[],-,False
37,immigration policy officer,"{'group': '2422', 'uri_comp_ess': ['f78d5c04-a440-4068-90c2-fab03409a911', '2839f191-cd94-49a9-ac16-46018066b8b2', 'e1e94871-b7d2-4492-a205-75ea078f9951'], 'uri_comp_opt': ['41cfce6d-5c0d-4af8-8ddc-32f7fbc07842'], 'uri_know_ess': ['7da0b396-34d7-4714-ada4-78d222e515a0', '2be699a7-416a-4f32-967c-4edc65027b71'], 'uri_know_opt': ['ed3f3dba-3a35-4ed5-b113-67f4d10ef4c8', 'c5449667-9b40-4114-8d74-f51177669984', 'a3aa300b-6636-40fc-abe7-4ab3808dd742']}",Master-D.,-,28,44,Noviglio,"['manage government policy implementation', 'liaise with local authorities', 'build international relations']",['enable access to services'],"['immigration law', 'government policy implementation']","['scientific research methodology', 'policy analysis', 'international law']","[('Spanish', 'A1')]",[],3,False
38,web content manager,"{'group': '2513', 'uri_comp_ess': ['dfb9cec6-3ae3-408a-9d57-c44361bf7aaf', 'a0bf9b9d-e53f-418c-a839-5d99eff718fe'], 'uri_comp_opt': ['5233e3f4-904a-4f68-9327-707f11d93374'], 'uri_know_ess': ['69bbd53f-fbb0-4476-b4b2-ef7844464e28', '03ff0d53-573a-47a0-a0ad-1995815a4339'], 'uri_know_opt': ['8785ccda-6f9f-4cf3-9033-fda10653d0be']}",Master-D.,PhD,27,46,San Mauro Pascoli,"['provide multimedia content', 'conduct search engine optimisation']",['design digital call to action'],"['web programming', 'information structure']",['JSSS'],"[('Spanish', 'A2'), ('English', 'B1')]",[],1,True
39,pipe welder,"{'group': '7212', 'uri_comp_ess': ['60482359-eda3-410f-a2cf-05ff1bddef8e', 'c3404999-faaa-4779-9cbf-e594b9c4d3b6', '200a8387-d67c-43e4-9cdc-44ab592c299e'], 'uri_comp_opt': ['fd84cf80-b9c9-4329-88b6-d3a4d5b8adb4', '0a0532c2-ee60-4410-8e07-70e4d69370ec', '29d762da-1711-4a3c-b424-f0a404f4bf2d'], 'uri_know_ess': ['59ea80e1-463a-4dba-82c6-d0b6d577d532', 'd4673a6d-4b7e-439b-81b0-e6d5ee67d396'], 'uri_know_opt': ['90cac92e-bda6-4739-a754-6a2172df7c2f']}",Less-than-degree,Degree,21,40,Padova,"['use wrenches', 'perform follow-up on pipeline route services', 'ensure regulatory compliance in pipeline infrastructures']","['pipeline maintaining', 'operate automated process control', 'join metals']","['a technical drawing', 'isometric perspective']",['legal requirements for pipeline transport'],"[('Italian', 'B1')]",[],-,False
40,gas production engineer,"{'group': '2145', 'uri_comp_ess': ['4fabca9a-7435-4f33-b1da-3cdb00340fdc', '089ee650-297e-4716-87d1-440743b70a0d', 'ec065d9b-748f-450d-b628-925a33cf688b'], 'uri_comp_opt': ['6122d586-5978-431f-8e7a-96e61fc1f3fc'], 'uri_know_ess': ['608eb32b-276c-42a6-9be9-2d7bc33e9b3b', '4669d245-31b4-4695-ba92-2eea6e965255'], 'uri_know_opt': ['3b73a161-be59-4079-815e-b4879f9b20b5']}",Master-D.,PhD,29,40,Olbia,"['perform scientific research', 'ensure compliance with environmental legislation', 'design natural gas processing systems']",['wear appropriate protective gear'],"['natural gas', 'gas contaminant removal processes']",['gas consumption'],"[('Italian', 'Null'), ('English', 'C2')]","[('Albanian', 'Null')]",1,False
41,dance répétiteur,"{'group': '2653', 'uri_comp_ess': ['a38ce4b3-dcd6-40a2-b33b-bbc63ec0e54f', '9afc0c8e-bbd4-4929-81f9-a17eb8af3879', '1d38a162-61a0-42e8-83ca-47ce3e881032'], 'uri_comp_opt': ['07ba491f-2fd4-4bab-bf52-32934c6f0b9f', '21fe231d-7063-4227-8cda-765d8ce1cf87', '97db841c-31bf-4aa0-85b9-0ddd0a77b7a5'], 'uri_know_ess': ['69554db4-90aa-4b97-bd4d-3cba4b658bed', '08fe5910-8c4c-4679-a988-eb2ded3c4909', '2ad081e6-0a3f-4612-ac15-7ace75d39e26'], 'uri_know_opt': []}",Master-D.,-,28,38,Venezia,"['rehearse artist fly movements', 'maintain working conditions safe when performing arts', 'develop a coaching style']","['work in an international environment', 'inspire enthusiasm for dance', 'analysing script']","['relationship between dance and music style', 'employment legislation', 'intellectual property legislation']",[],"[('Spanish', 'B2'), ('English', 'B1')]",[],1,False
42,veterinary medicine lecturer,"{'group': '2310', 'uri_comp_ess': ['f715be1d-5fc4-49d3-82a5-0b8090d12849', 'a584a638-a2c0-4b3c-bdf3-a64f87225be9', '11f536f5-b0e2-46a6-95c1-bd765946604c'], 'uri_comp_opt': ['39f67488-cfd3-4370-8d7e-da98163102d9'], 'uri_know_ess': ['45399c1f-2ea2-4a5a-8701-def168041e5b', 'e16e37e8-e5eb-4b88-a9df-7546f71412ac', '32d011d6-7875-4cc3-9755-28b366ef927b', '02bf9522-bd6e-4482-be03-1827483be21a'], 'uri_know_opt': ['b5a8e3fe-63b3-4a67-a4c4-dee8f4ff5d1a', '0302f93a-0d38-4c00-bc37-eda17b6316ea', '4bd422bb-6ea3-4161-a908-53c0f5a1bb00']}",Master-D.,-,29,40,San Cataldo,"['synthesise information', 'mentor individuals', ""guarantee students' safety""]",['evaluate research activities'],"['veterinary terminology', 'veterinary clinical sciences', 'signs of animal illness', 'first aid for animals']","['safe work practices in a veterinary setting', 'biosecurity related to animals', 'animal production science']","[('Romanian', 'Null'), ('German', 'A2')]",[],1,False
43,nuclear engineer,"{'group': '2149', 'uri_comp_ess': ['dc07021c-7528-4351-809a-1525904466ba', '089ee650-297e-4716-87d1-440743b70a0d', '6532ef3b-1685-4de7-a858-d31fdaa435ca'], 'uri_comp_opt': ['1de6b87b-2c7d-49aa-bcc0-3b2ef75f064f', 'c291df22-0d6b-4cea-8feb-11c350a33081', '2fd77342-8b8d-414e-8b03-5a65f79e9b78'], 'uri_know_ess': ['9c071f1d-eac3-449d-b004-c14775b5a3b9', '82887396-e5bf-4306-af51-3fe8d82790b2'], 'uri_know_opt': []}",Master-D.,-,27,45,Vinci,"['enforce compliance with radiation protection regulations', 'ensure compliance with environmental legislation', 'calibrate precision instrument']","['equipment malfunction resolution', 'monitor radiation levels', 'maintain nuclear reactors']","['mechanical engineering', 'civil engineering']",[],"[('Spanish', 'C1'), ('English', 'Null')]",[],3,True
44,primary school head teacher,"{'group': '1345', 'uri_comp_ess': ['1a4fdd0e-2cbe-4b77-aa6e-e46efc181b76', '36fe44b2-af36-4467-9be8-601e64b3dbc7', '3254275d-a1b5-4640-9481-02f38780ac35', '078098e1-01f7-4654-9ddd-016f4063b54d'], 'uri_comp_opt': [], 'uri_know_ess': ['7111b95d-0ce3-441a-9d92-4c75d05c4388', '74bb0643-a15f-48ea-b12c-d98bf49cb317', 'a117f32c-662b-4dd9-b739-1230dd04cb60'], 'uri_know_opt': []}",Degree,-,18,24,Manziana,"['represent the organisation', 'liaise with educational support staff', 'develop organisational policies', 'cooperate with education professionals']",[],"['programme management', 'primary school procedures', 'paedagogy']",[],"[('French', 'B2')]","[('Italian', 'Null')]",-,False
45,accounting assistant,"{'group': '3313', 'uri_comp_ess': ['71dde84c-0058-4c52-a556-523369333db8', 'eaa9727c-df1e-407a-85d3-48cc71508bc2', '8a326ee1-169c-4c44-b38b-8f1bb20ec79b', '83e97138-899a-4af8-9187-47823e875841'], 'uri_comp_opt': ['dc417e19-edb4-4401-883a-2375f67a162f', '047fcf0a-2936-49fb-b4eb-97cdd8d09d0b', 'b8656b5c-e3f0-4418-82ff-87b5f677f9e8'], 'uri_know_ess': ['d669af41-756c-48d9-a286-1443253f54b1', '99b163e8-7815-43e2-83f3-a47f3076354c'], 'uri_know_opt': []}",Master-D.,PhD,28,40,Trapani,"['use office systems', 'prepare trial balances', 'track down accounting errors', 'abide by the statutory obligations']","['manage the general ledger', 'maintain statutory books', 'disseminate information on tax legislation']","['fiscal statutes', 'accounting entries']",[],"[('French', 'A2'), ('English', 'C2')]",[],1,True
46,insurance clerk,"{'group': '4312', 'uri_comp_ess': ['918f5211-b99f-4b29-9a34-6e475583ef55', '71dde84c-0058-4c52-a556-523369333db8', '30b1f3e1-1586-4d41-aa02-e2ab021b5164', 'f7e7ccb6-fadc-4c35-935d-e1040be40dfe'], 'uri_comp_opt': ['71ae4f64-6505-4b6f-91b9-5acfa5721798', 'faf8943c-72ff-4736-a587-25508695d6f0', '68698869-c13c-4563-adc7-118b7644f45d'], 'uri_know_ess': ['fce3268c-c944-4a5f-8b9c-034a72d5df13', 'cf310cff-0d28-4dbc-9dbb-cc500a3196c2'], 'uri_know_opt': ['d669af41-756c-48d9-a286-1443253f54b1', 'f75b740c-b36c-495e-bc67-efe347bbc6b5', '3c209873-c757-47bb-91b5-9b6dc05df116']}",Bachelor-D.,Master-D.,25,36,Pimonte,"['write work-related reports', 'utilize office systems', 'undertake work-related paperwork activities', 'handle financial transactions']","['obtain fiscal information', 'maintain financial records', ""analyse customer's needs""]","['types of insurance', 'office software']","['tax legislation', 'company policies', 'banking activity']","[('Italian', 'A1'), ('French', 'C1')]",[],1,False
47,chain making machine operator,"{'group': '7223', 'uri_comp_ess': ['465ff64a-1271-4064-8ed1-e969cb68d8b4', '45c19aa0-2c28-42ab-936b-a367face2268'], 'uri_comp_opt': [], 'uri_know_ess': ['7f107a85-d6ac-410f-a995-d635c5aa418b', 'c4b3bbb4-a4f7-467f-8e91-a545d0224dce', '8d4271ca-c9fd-40b3-875f-15f78332a49e'], 'uri_know_opt': ['c01b4549-3bc2-4640-8ecb-ef335fc4445c']}",Degree,Bachelor-D.,19,32,Trapani,"['perform test run', 'monitor moving workpiece in a machine']",[],"['types of metal', 'types of chain', 'quality standards']",['types of metal manufacturing processes'],"[('German', 'C2')]",[],-,False
48,zoo section leader,"{'group': '5164', 'uri_comp_ess': ['67bd66ec-5935-4cd2-8bf8-f1eff5237d19', '5e9e6dea-23d9-46ba-b8ea-749319b48994', 'd33b9bd2-6dcb-4abc-b3c2-96b8983d5c97'], 'uri_comp_opt': [], 'uri_know_ess': ['a07a5d41-add0-4d0f-ad01-718d39554be8', '4e6cfb60-9579-4822-8a5e-424bc0c8835c', '37fd96cf-404a-4fa3-a443-2b5d6858c010'], 'uri_know_opt': []}",Degree,-,18,28,Avella,"['provide opportunities for animals to express natural behaviour', 'chair a conference', 'assess animal behaviour']",[],"['applied zoology', 'animal welfare', 'animal nutrition']",[],"[('Spanish', 'B2'), ('French', 'A2')]",[],2,False
49,sales account manager,"{'group': '1420', 'uri_comp_ess': ['9889b795-d755-41b2-8afd-2e3c87a65a38', '171eee55-19b9-46d6-aded-33193ba8ccf1', 'c753a3b5-d5cc-406d-adfe-3372bb267f4b', '50181a4b-1cfd-4fbd-ac9a-c1a494b9c5d0'], 'uri_comp_opt': [], 'uri_know_ess': ['15a33d76-4640-438d-ae64-fdc0c1d3eebc', '1585fc98-bfe4-461f-97fc-734055a2c3ce'], 'uri_know_opt': ['97b713f0-b9e8-4903-8dee-7e0b4019a1c0', '7ae62140-fe02-4ee3-a0c5-fb5668a2870d', '880c54f9-866e-4f37-b5fa-25ef8a7d49b6']}",Degree,-,23,34,Seravezza,"['use customer relationship management software', 'study sales levels of product', 'maintain passenger name record', 'introduce customer follow-up']",[],"['customer service', 'characteristics of a  product']","['employment law', 'consumer protection', 'accounting techniques']","[('French', 'A2')]",[],3,True
50,ICT security engineer,"{'group': '2529', 'uri_comp_ess': ['64852ade-6ae1-4760-ba4a-976bf07ca255', '69cfc5ed-6569-4aca-a4cc-fd782ba51d9c'], 'uri_comp_opt': ['c2cbbccf-4ffd-4626-86e7-505b39c872a0'], 'uri_know_ess': ['11eebd42-44ab-401d-8a2c-bdb9fc9beb50', '3ff589b7-68df-4ea5-ae41-b395bdb2378f', '7814e88f-c133-4c3b-b27f-857afa145d42'], 'uri_know_opt': []}",Bachelor-D.,Master-D.,21,36,Venezia,"['manage disaster recovery plans', 'implement ICT risk management']",['implement spam protection'],"['information security strategy', 'ICT security standards', 'ICT security legislation']",[],"[('Italian', 'Null')]",[],-,False
51,biophysicist,"{'group': '2131', 'uri_comp_ess': ['a584a638-a2c0-4b3c-bdf3-a64f87225be9', 'cd50d616-1f8b-481e-983f-68d2674ff82d', '00b9a3aa-7070-4bb5-8020-f228a97cf42f'], 'uri_comp_opt': ['4cd85845-f31c-4306-994d-e12d45114d83', 'cb1a2fbf-242d-4a4e-a466-588378f124c1', 'b363bb5f-2c79-40af-94da-33e06f9dee9f'], 'uri_know_ess': ['ed3f3dba-3a35-4ed5-b113-67f4d10ef4c8', '9433da85-70fa-4a25-8f96-71fa59dd1989'], 'uri_know_opt': []}",Master-D.,-,26,42,Porto San Giorgio,"['support individuals', 'integrate gender dimension in research', 'draft scientific or academic papers and technical documentation']","['teach in academic or vocational contexts', 'operate scientific measuring equipment', 'apply blended learning']","['scientific research methodology', 'fundamentals of biological science']",[],"[('Italian', 'B2'), ('English', 'Null')]",[],-,False
52,animal massage therapist,"{'group': '2250', 'uri_comp_ess': ['a0763241-9aa5-43f2-860d-2cef9477c889', 'cde1ed83-8527-4ad1-9d26-7d8ccb2e8b03', 'f2711363-fced-40af-837e-5cea0c7f0604'], 'uri_comp_opt': [], 'uri_know_ess': ['32d011d6-7875-4cc3-9755-28b366ef927b', '0302f93a-0d38-4c00-bc37-eda17b6316ea'], 'uri_know_opt': []}",Bachelor-D.,-,25,42,Padova,"['perform massage techniques on animals', 'handle veterinary emergencies', 'advise on animal welfare']",[],"['signs of animal illness', 'biosecurity related to animals']",[],"[('Romanian', 'C1')]",[],-,False
53,hydrographic surveyor,"{'group': '2165', 'uri_comp_ess': ['222137dc-9021-4be8-bb7a-29833e02616a', '65f375e1-6724-4539-8f8d-b35f4ba11af0', '8867088a-e54d-41bc-81e8-a21ff98e81d3', 'bb0069d2-0953-43d4-923b-18ad370bc2f3'], 'uri_comp_opt': ['e02faa7a-9277-4340-aeda-e35bf138320e'], 'uri_know_ess': ['67785eab-0818-41f9-9756-a8e0a215b95b', '4339176e-3acd-4f7f-a5d9-445bee3d23f2', 'd2c3fe66-d01a-473e-a7b1-cb463a617f86'], 'uri_know_opt': []}",Degree,-,22,41,Lecce,"['prepare surveying report', 'document survey operations', 'calibrate electronic instruments', 'adjust surveying equipment']",['provide information on geological characteristics'],"['surveying methods', 'mathematics', 'the study of water bodies']",[],"[('Spanish', 'Null'), ('French', 'Null')]",[],2,True
54,leather sorter,"{'group': '7535', 'uri_comp_ess': ['7ff2c668-0e86-418a-a962-4958262ee337', 'fc54bd7f-0c03-4fdd-af8c-5eb4021e716d'], 'uri_comp_opt': ['d1920e7f-c9ef-4e48-91b9-cdb6fbb46f58', '0fc0cb61-f44d-4fd0-afd1-18506380b55e'], 'uri_know_ess': ['39d7fe0c-205a-44d0-a17d-81ebcb5fc032', '6167ea9a-2949-4f3d-86d5-ac10b1490317'], 'uri_know_opt': ['269b7ddb-f615-470b-998f-07940725c72e']}",Degree,-,18,23,Arluno,"['employ communication techniques', ""make the company's goals one's own""]","['manage quality of leather throughout the production process', 'exert a goal-oriented leadership role towards colleagues']","['physico-chemical properties of hides and skins', 'physico-chemical properties of crust leather']",['leather technology'],"[('Spanish', 'Null')]",[],2,True
55,securities trader,"{'group': '3311', 'uri_comp_ess': ['b078d38c-7dd4-4efc-b333-7633d8bf6259', '292549e6-08ec-456c-b008-eba7a0a68428'], 'uri_comp_opt': ['16594fea-3004-4730-838f-e35a432b49da', '56ff27ef-2565-45bf-a70c-f06d78d2a480'], 'uri_know_ess': ['b895bd42-0009-4815-a150-eb9eb5caec21', 'bcadc519-00f4-43bc-9373-054f4ac717cb', 'e4c205f6-55ba-4bed-9c5d-2032058300c0', 'c9f4efcd-e16a-4515-a0cb-60c6c479853d'], 'uri_know_opt': ['0bd4c62a-c309-467e-be76-8403b3f3a1a8']}",Master-D.,PhD,27,35,Cosenza,"['monitor stock market', 'analyse market financial trends']","['perform stock valuation', 'create a financial plan']","['stock market', 'modern portfolio theory', 'financial jurisdiction', 'actuarial science']",['financial products'],"[('Spanish', 'Null'), ('Italian', 'B2')]",[],-,False
56,patent engineer,"{'group': '2149', 'uri_comp_ess': ['39e7d2a3-8d01-497c-8c5f-d51ab53a4a22', 'f0153530-9ff3-4fe6-8f9e-012d06ac5b89', '89cd5be3-b045-4172-82a3-f23b9faca79d', 'cae4146d-71d8-46a8-9a90-748a63c22f25'], 'uri_comp_opt': [], 'uri_know_ess': ['b011c8b4-76e1-4bbc-8bb9-1d205e7b618a', 'c7e686a1-d03e-4641-a229-68247fdc5887', '72a74f69-5cf1-43c5-99b9-62a444578919'], 'uri_know_opt': ['9c071f1d-eac3-449d-b004-c14775b5a3b9', 'a8585efe-4011-47b2-9aed-cd01bd3652c0', 'f75b740c-b36c-495e-bc67-efe347bbc6b5']}",Master-D.,-,25,45,Castellana Grotte,"['present arguments persuasively', 'ensure law application', 'create patent draft', 'advise on patents']",[],"['market analysis', 'legal terminology', 'engineering processes']","['mechanical engineering', 'legal research', 'company policies']","[('Spanish', 'C2'), ('Italian', 'A2')]","[('German', 'Null')]",1,True
57,meter reader,"{'group': '9623', 'uri_comp_ess': ['806557a0-49e6-4a06-9398-51cbf72f7a4c', 'b0279338-ddfa-473d-b961-fa51b1185612', '48a83424-6758-4ad5-b5fa-ca3a32034431', '6e540395-ca49-4425-987d-b0268128fb31'], 'uri_comp_opt': ['644fce93-9abb-498d-9fbe-19dafc66dfbc'], 'uri_know_ess': ['48f480aa-c9a8-4552-b1c5-e94330912257', '4339176e-3acd-4f7f-a5d9-445bee3d23f2'], 'uri_know_opt': ['72886bc5-eeb0-42d5-9b01-f83b4cf138b4']}",Less-than-degree,Degree,16,24,Fontanelice,"['utility meter readings presenting', 'recognise signs of corrosion', 'utility meters faults identifying', 'examine meters in connections']",['calculate utility payments'],"['road traffic laws', 'mathematics']",['water conservation'],"[('Arabic', 'C1')]",[],2,False
58,mayor,"{'group': '1111', 'uri_comp_ess': ['f78d5c04-a440-4068-90c2-fab03409a911', '5e9de344-2bea-40dc-8410-f940121330e4', '28f98c7e-b89c-4b4d-ae0a-0c5a6328992e'], 'uri_comp_opt': ['9df49e8c-68dd-4c60-bedb-86b0ee309632', 'fa68995c-305b-4962-96e7-70782fc385f8'], 'uri_know_ess': ['1b1cf435-46ba-4471-afda-5029b36b3862', '2be699a7-416a-4f32-967c-4edc65027b71'], 'uri_know_opt': ['efb523d0-c998-440d-8639-cd14ba841c4c', '74688c5d-2af1-4f7a-9d1c-00e808eaa1e6']}",Degree,Bachelor-D.,20,34,Arcore,"['manage government policy implementation', 'maintain relationships with government agencies', 'build community relations']","['prepare legislation proposition', 'perform political negotiation']","['government representation', 'government policy implementation']","['public law', 'budgetary principles']","[('Spanish', 'A2'), ('Italian', 'Null')]","[('German', 'Null')]",1,False
59,aviation surveillance and code coordination manager,"{'group': '1349', 'uri_comp_ess': ['918f5211-b99f-4b29-9a34-6e475583ef55', '9ff9db9d-d14b-426e-83f3-e7449af6c79f'], 'uri_comp_opt': [], 'uri_know_ess': ['f6f22c8e-249e-4e82-9528-6779a947b265', '377861af-f966-4c87-a2db-7e99904312b9'], 'uri_know_opt': []}",Degree,Bachelor-D.,22,31,Partinico,"['write work-related reports', 'manage data']",[],"['surveillance radars', 'geographic information systems']",[],"[('German', 'C1')]",[],3,True
60,dean of faculty,"{'group': '1345', 'uri_comp_ess': ['76161ecd-084a-4caa-9116-3ee05658d8a8', 'a703b581-ad64-4791-8bb3-624aea569fa5'], 'uri_comp_opt': ['5de0599a-8fca-4cdd-a72d-f5d21af8eeb3', 'e76f5374-f86d-431c-9704-475a38ce72be'], 'uri_know_ess': ['264c14a5-d025-4916-a378-0a85f16adb3f', 'edff6d20-660d-4d33-b412-9a5b664a14be', '74688c5d-2af1-4f7a-9d1c-00e808eaa1e6'], 'uri_know_opt': ['3556c075-eee0-4549-b730-48ae70cb5af9', '31b67516-af16-4b97-8430-a8a8e0f84190']}",Degree,Bachelor-D.,22,36,Cremosano,"[""manage educational institution's administration"", 'maintain contract administration']","['monitor educational developments', 'identify improvement actions']","['curriculum standards', 'curriculum objectives', 'budgetary principles']","['funding methods', 'assessment processes']","[('Spanish', 'Null'), ('French', 'Null')]",[],1,True
